2017-08-27 21:34:54,072 - T_0_gm.py:60 - GM - - ---> initialize
2017-08-27 21:34:54,130 - T_0_gm.py:154 - GM - 2017-08-23T09:30:00+08:00: close: 17.879999, low: 17.870001, high: 17.889999
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:31:00+08:00: close: 17.910000, low: 17.870001, high: 17.910000
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:32:00+08:00: close: 17.959999, low: 17.900000, high: 17.959999
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:33:00+08:00: close: 18.049999, low: 18.000000, high: 18.100000
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:34:00+08:00: close: 18.000000, low: 17.959999, high: 18.049999
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:35:00+08:00: close: 18.000000, low: 17.969999, high: 18.000000
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:36:00+08:00: close: 17.969999, low: 17.950001, high: 17.990000
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:37:00+08:00: close: 17.940001, low: 17.930000, high: 17.969999
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:38:00+08:00: close: 17.930000, low: 17.920000, high: 17.930000
2017-08-27 21:34:54,131 - T_0_gm.py:154 - GM - 2017-08-23T09:39:00+08:00: close: 17.920000, low: 17.920000, high: 17.940001
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:40:00+08:00: close: 17.959999, low: 17.940001, high: 17.959999
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:41:00+08:00: close: 17.980000, low: 17.959999, high: 17.980000
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:42:00+08:00: close: 17.990000, low: 17.980000, high: 18.000000
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:43:00+08:00: close: 18.100000, low: 17.950001, high: 18.100000
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:44:00+08:00: close: 18.110001, low: 18.000000, high: 18.120001
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:45:00+08:00: close: 18.139999, low: 18.129999, high: 18.160000
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:46:00+08:00: close: 18.080000, low: 17.959999, high: 18.139999
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:47:00+08:00: close: 18.070000, low: 18.000000, high: 18.070000
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:48:00+08:00: close: 18.070000, low: 18.030001, high: 18.080000
2017-08-27 21:34:54,132 - T_0_gm.py:154 - GM - 2017-08-23T09:49:00+08:00: close: 18.090000, low: 18.070000, high: 18.090000
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:50:00+08:00: close: 18.100000, low: 18.090000, high: 18.120001
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:51:00+08:00: close: 18.090000, low: 18.070000, high: 18.100000
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:52:00+08:00: close: 18.049999, low: 18.049999, high: 18.090000
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:53:00+08:00: close: 18.030001, low: 18.030001, high: 18.049999
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:54:00+08:00: close: 18.040001, low: 18.020000, high: 18.040001
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:55:00+08:00: close: 18.059999, low: 18.030001, high: 18.059999
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:56:00+08:00: close: 18.070000, low: 18.049999, high: 18.070000
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:57:00+08:00: close: 18.100000, low: 18.059999, high: 18.120001
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:58:00+08:00: close: 18.070000, low: 18.070000, high: 18.100000
2017-08-27 21:34:54,133 - T_0_gm.py:154 - GM - 2017-08-23T09:59:00+08:00: close: 18.059999, low: 18.059999, high: 18.080000
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:00:00+08:00: close: 18.059999, low: 18.059999, high: 18.070000
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:01:00+08:00: close: 18.080000, low: 18.059999, high: 18.080000
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:02:00+08:00: close: 18.059999, low: 18.059999, high: 18.059999
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:03:00+08:00: close: 18.040001, low: 18.040001, high: 18.049999
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:04:00+08:00: close: 18.040001, low: 18.040001, high: 18.049999
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:05:00+08:00: close: 18.070000, low: 18.049999, high: 18.070000
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:06:00+08:00: close: 18.059999, low: 18.049999, high: 18.080000
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:07:00+08:00: close: 18.049999, low: 18.049999, high: 18.070000
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:08:00+08:00: close: 18.049999, low: 18.040001, high: 18.049999
2017-08-27 21:34:54,134 - T_0_gm.py:154 - GM - 2017-08-23T10:09:00+08:00: close: 18.020000, low: 18.020000, high: 18.049999
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:10:00+08:00: close: 18.020000, low: 18.020000, high: 18.030001
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:11:00+08:00: close: 18.030001, low: 18.020000, high: 18.040001
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:12:00+08:00: close: 18.010000, low: 18.010000, high: 18.030001
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:13:00+08:00: close: 18.000000, low: 17.959999, high: 18.020000
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:14:00+08:00: close: 17.959999, low: 17.959999, high: 17.990000
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:15:00+08:00: close: 17.959999, low: 17.959999, high: 17.980000
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:16:00+08:00: close: 17.950001, low: 17.950001, high: 17.980000
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:17:00+08:00: close: 17.930000, low: 17.930000, high: 17.959999
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:18:00+08:00: close: 17.930000, low: 17.930000, high: 17.940001
2017-08-27 21:34:54,135 - T_0_gm.py:154 - GM - 2017-08-23T10:19:00+08:00: close: 17.950001, low: 17.930000, high: 17.950001
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:20:00+08:00: close: 17.920000, low: 17.920000, high: 17.950001
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:21:00+08:00: close: 17.930000, low: 17.920000, high: 17.930000
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:22:00+08:00: close: 17.900000, low: 17.900000, high: 17.930000
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:23:00+08:00: close: 17.900000, low: 17.900000, high: 17.920000
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:24:00+08:00: close: 17.920000, low: 17.889999, high: 18.000000
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:25:00+08:00: close: 17.969999, low: 17.920000, high: 17.990000
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:26:00+08:00: close: 17.969999, low: 17.940001, high: 17.969999
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:27:00+08:00: close: 17.950001, low: 17.940001, high: 17.969999
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:28:00+08:00: close: 17.920000, low: 17.920000, high: 17.940001
2017-08-27 21:34:54,136 - T_0_gm.py:154 - GM - 2017-08-23T10:29:00+08:00: close: 17.920000, low: 17.910000, high: 17.940001
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:30:00+08:00: close: 17.900000, low: 17.900000, high: 17.920000
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:31:00+08:00: close: 17.889999, low: 17.889999, high: 17.910000
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:32:00+08:00: close: 17.860001, low: 17.860001, high: 17.889999
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:33:00+08:00: close: 17.870001, low: 17.860001, high: 17.889999
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:34:00+08:00: close: 17.879999, low: 17.870001, high: 17.889999
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:35:00+08:00: close: 17.900000, low: 17.879999, high: 17.900000
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:36:00+08:00: close: 17.940001, low: 17.900000, high: 17.950001
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:37:00+08:00: close: 17.940001, low: 17.910000, high: 17.940001
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:38:00+08:00: close: 17.959999, low: 17.940001, high: 17.959999
2017-08-27 21:34:54,137 - T_0_gm.py:154 - GM - 2017-08-23T10:39:00+08:00: close: 17.940001, low: 17.940001, high: 17.959999
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:40:00+08:00: close: 17.950001, low: 17.940001, high: 17.950001
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:41:00+08:00: close: 17.930000, low: 17.930000, high: 17.940001
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:42:00+08:00: close: 17.910000, low: 17.910000, high: 17.930000
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:43:00+08:00: close: 17.930000, low: 17.910000, high: 17.940001
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:44:00+08:00: close: 17.969999, low: 17.930000, high: 17.969999
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:45:00+08:00: close: 17.969999, low: 17.969999, high: 17.969999
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:46:00+08:00: close: 17.959999, low: 17.959999, high: 17.980000
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:47:00+08:00: close: 17.950001, low: 17.950001, high: 17.969999
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:48:00+08:00: close: 17.950001, low: 17.930000, high: 17.950001
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:49:00+08:00: close: 17.920000, low: 17.920000, high: 17.930000
2017-08-27 21:34:54,138 - T_0_gm.py:154 - GM - 2017-08-23T10:50:00+08:00: close: 17.910000, low: 17.900000, high: 17.910000
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:51:00+08:00: close: 17.900000, low: 17.900000, high: 17.910000
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:52:00+08:00: close: 17.900000, low: 17.900000, high: 17.910000
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:53:00+08:00: close: 17.900000, low: 17.889999, high: 17.900000
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:54:00+08:00: close: 17.900000, low: 17.900000, high: 17.910000
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:55:00+08:00: close: 17.879999, low: 17.879999, high: 17.910000
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:56:00+08:00: close: 17.879999, low: 17.870001, high: 17.889999
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:57:00+08:00: close: 17.790001, low: 17.790001, high: 17.870001
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:58:00+08:00: close: 17.760000, low: 17.750000, high: 17.790001
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T10:59:00+08:00: close: 17.740000, low: 17.740000, high: 17.760000
2017-08-27 21:34:54,139 - T_0_gm.py:154 - GM - 2017-08-23T11:00:00+08:00: close: 17.780001, low: 17.750000, high: 17.780001
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:01:00+08:00: close: 17.790001, low: 17.770000, high: 17.790001
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:02:00+08:00: close: 17.760000, low: 17.750000, high: 17.780001
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:03:00+08:00: close: 17.719999, low: 17.709999, high: 17.760000
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:04:00+08:00: close: 17.700001, low: 17.680000, high: 17.730000
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:05:00+08:00: close: 17.620001, low: 17.610001, high: 17.680000
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:06:00+08:00: close: 17.610001, low: 17.600000, high: 17.639999
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:07:00+08:00: close: 17.680000, low: 17.620001, high: 17.680000
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:08:00+08:00: close: 17.670000, low: 17.670000, high: 17.680000
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:09:00+08:00: close: 17.680000, low: 17.660000, high: 17.680000
2017-08-27 21:34:54,140 - T_0_gm.py:154 - GM - 2017-08-23T11:10:00+08:00: close: 17.770000, low: 17.670000, high: 17.770000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:11:00+08:00: close: 17.730000, low: 17.709999, high: 17.750000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:12:00+08:00: close: 17.730000, low: 17.709999, high: 17.740000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:13:00+08:00: close: 17.740000, low: 17.719999, high: 17.740000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:14:00+08:00: close: 17.740000, low: 17.730000, high: 17.760000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:15:00+08:00: close: 17.750000, low: 17.740000, high: 17.770000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:16:00+08:00: close: 17.750000, low: 17.730000, high: 17.750000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:17:00+08:00: close: 17.719999, low: 17.719999, high: 17.750000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:18:00+08:00: close: 17.740000, low: 17.719999, high: 17.740000
2017-08-27 21:34:54,141 - T_0_gm.py:154 - GM - 2017-08-23T11:19:00+08:00: close: 17.760000, low: 17.740000, high: 17.760000
2017-08-27 21:34:54,142 - T_0_gm.py:154 - GM - 2017-08-23T11:20:00+08:00: close: 17.760000, low: 17.740000, high: 17.770000
2017-08-27 21:34:54,142 - T_0_gm.py:154 - GM - 2017-08-23T11:21:00+08:00: close: 17.780001, low: 17.760000, high: 17.780001
2017-08-27 21:34:54,142 - T_0_gm.py:154 - GM - 2017-08-23T11:22:00+08:00: close: 17.770000, low: 17.770000, high: 17.780001
2017-08-27 21:34:54,142 - T_0_gm.py:154 - GM - 2017-08-23T11:23:00+08:00: close: 17.770000, low: 17.750000, high: 17.770000
2017-08-27 21:34:54,142 - T_0_gm.py:154 - GM - 2017-08-23T11:24:00+08:00: close: 17.740000, low: 17.740000, high: 17.750000
2017-08-27 21:34:54,142 - T_0_gm.py:154 - GM - 2017-08-23T11:25:00+08:00: close: 17.740000, low: 17.730000, high: 17.750000
2017-08-27 21:34:54,142 - T_0_gm.py:154 - GM - 2017-08-23T11:26:00+08:00: close: 17.740000, low: 17.740000, high: 17.750000
2017-08-27 21:34:54,142 - T_0_gm.py:154 - GM - 2017-08-23T11:27:00+08:00: close: 17.740000, low: 17.730000, high: 17.740000
2017-08-27 21:34:54,143 - T_0_gm.py:154 - GM - 2017-08-23T11:28:00+08:00: close: 17.730000, low: 17.730000, high: 17.740000
